SeqParameter1	MeanExcitation	PMTExcitation	Parity	P0	P1	time	CavIonDifference	CavityDrift	BField	BDrift	RSFreqReal	MacFreq00	MacFreq01	MacFreq02	MacFreq03	MacFreq04	MacFreq05	MacFreq06	MacFreq07	MacFreq08	MacFreq09	MacFreq10	MacFreq11	MacFreq12	MacFreq13	MacFreq14
2.200000000E+1	5.100000000E-1	5.100000000E-1	5.100000000E-1	4.900000000E-1	5.100000000E-1	3.548083396E+9	7.357917852E+2	0.000000000E+0	4.131291401E+0	0.000000000E+0	3.189479463E+2	0.000000000E+0	2.318457766E+0	-1.156280773E+1	2.318457766E+0	-1.619973951E+1	-1.366550773E+1	2.315952000E+0	-1.363400773E+1	-1.417181080E+1	-9.249097400E+0	-2.000000000E+1	-1.277650773E+1	-1.277650773E+1	3.532157766E+0	-1.155056450E+1
2.300000000E+1	1.000000000E+0	1.000000000E+0	1.000000000E+0	0.000000000E+0	1.000000000E+0	3.548083398E+9	7.357917852E+2	0.000000000E+0	4.131291401E+0	0.000000000E+0	3.189479463E+2	0.000000000E+0	2.318457766E+0	-1.156280773E+1	2.318457766E+0	-1.619973951E+1	-1.366550773E+1	2.315952000E+0	-1.363400773E+1	-1.417181080E+1	-9.249097400E+0	-2.000000000E+1	-1.277650773E+1	-1.277650773E+1	3.532157766E+0	-1.155056450E+1
2.400000000E+1	4.800000000E-1	4.800000000E-1	4.800000000E-1	5.200000000E-1	4.800000000E-1	3.548083401E+9	7.357917852E+2	0.000000000E+0	4.131291401E+0	0.000000000E+0	3.189479463E+2	0.000000000E+0	2.318457766E+0	-1.156280773E+1	2.318457766E+0	-1.619973951E+1	-1.366550773E+1	2.315952000E+0	-1.363400773E+1	-1.417181080E+1	-9.249097400E+0	-2.000000000E+1	-1.277650773E+1	-1.277650773E+1	3.532157766E+0	-1.155056450E+1
2.500000000E+1	4.900000000E-1	4.900000000E-1	4.900000000E-1	5.100000000E-1	4.900000000E-1	3.548083404E+9	7.357917852E+2	0.000000000E+0	4.131291401E+0	0.000000000E+0	3.189479463E+2	0.000000000E+0	2.318457766E+0	-1.156280773E+1	2.318457766E+0	-1.619973951E+1	-1.366550773E+1	2.315952000E+0	-1.363400773E+1	-1.417181080E+1	-9.249097400E+0	-2.000000000E+1	-1.277650773E+1	-1.277650773E+1	3.532157766E+0	-1.155056450E+1
2.600000000E+1	0.000000000E+0	0.000000000E+0	0.000000000E+0	1.000000000E+0	0.000000000E+0	3.548083406E+9	7.357917852E+2	0.000000000E+0	4.131291401E+0	0.000000000E+0	3.189479463E+2	0.000000000E+0	2.318457766E+0	-1.156280773E+1	2.318457766E+0	-1.619973951E+1	-1.366550773E+1	2.315952000E+0	-1.363400773E+1	-1.417181080E+1	-9.249097400E+0	-2.000000000E+1	-1.277650773E+1	-1.277650773E+1	3.532157766E+0	-1.155056450E+1
2.700000000E+1	1.000000000E+0	1.000000000E+0	1.000000000E+0	0.000000000E+0	1.000000000E+0	3.548083409E+9	7.357917852E+2	0.000000000E+0	4.131291401E+0	0.000000000E+0	3.189479463E+2	0.000000000E+0	2.318457766E+0	-1.156280773E+1	2.318457766E+0	-1.619973951E+1	-1.366550773E+1	2.315952000E+0	-1.363400773E+1	-1.417181080E+1	-9.249097400E+0	-2.000000000E+1	-1.277650773E+1	-1.277650773E+1	3.532157766E+0	-1.155056450E+1
2.800000000E+1	4.600000000E-1	4.600000000E-1	4.600000000E-1	5.400000000E-1	4.600000000E-1	3.548083412E+9	7.357917852E+2	0.000000000E+0	4.131291401E+0	0.000000000E+0	3.189479463E+2	0.000000000E+0	2.318457766E+0	-1.156280773E+1	2.318457766E+0	-1.619973951E+1	-1.366550773E+1	2.315952000E+0	-1.363400773E+1	-1.417181080E+1	-9.249097400E+0	-2.000000000E+1	-1.277650773E+1	-1.277650773E+1	3.532157766E+0	-1.155056450E+1
2.900000000E+1	5.100000000E-1	5.100000000E-1	5.100000000E-1	4.900000000E-1	5.100000000E-1	3.548083414E+9	7.357917852E+2	0.000000000E+0	4.131291401E+0	0.000000000E+0	3.189479463E+2	0.000000000E+0	2.318457766E+0	-1.156280773E+1	2.318457766E+0	-1.619973951E+1	-1.366550773E+1	2.315952000E+0	-1.363400773E+1	-1.417181080E+1	-9.249097400E+0	-2.000000000E+1	-1.277650773E+1	-1.277650773E+1	3.532157766E+0	-1.155056450E+1
3.000000000E+1	5.500000000E-1	5.500000000E-1	5.500000000E-1	4.500000000E-1	5.500000000E-1	3.548083417E+9	7.357917852E+2	0.000000000E+0	4.131291401E+0	0.000000000E+0	3.189479463E+2	0.000000000E+0	2.318457766E+0	-1.156280773E+1	2.318457766E+0	-1.619973951E+1	-1.366550773E+1	2.315952000E+0	-1.363400773E+1	-1.417181080E+1	-9.249097400E+0	-2.000000000E+1	-1.277650773E+1	-1.277650773E+1	3.532157766E+0	-1.155056450E+1
3.100000000E+1	1.000000000E+0	1.000000000E+0	1.000000000E+0	0.000000000E+0	1.000000000E+0	3.548083419E+9	7.357917852E+2	0.000000000E+0	4.131291401E+0	0.000000000E+0	3.189479463E+2	0.000000000E+0	2.318457766E+0	-1.156280773E+1	2.318457766E+0	-1.619973951E+1	-1.366550773E+1	2.315952000E+0	-1.363400773E+1	-1.417181080E+1	-9.249097400E+0	-2.000000000E+1	-1.277650773E+1	-1.277650773E+1	3.532157766E+0	-1.155056450E+1
3.200000000E+1	6.000000000E-1	6.000000000E-1	6.000000000E-1	4.000000000E-1	6.000000000E-1	3.548083422E+9	7.357917852E+2	0.000000000E+0	4.131291401E+0	0.000000000E+0	3.189479463E+2	0.000000000E+0	2.318457766E+0	-1.156280773E+1	2.318457766E+0	-1.619973951E+1	-1.366550773E+1	2.315952000E+0	-1.363400773E+1	-1.417181080E+1	-9.249097400E+0	-2.000000000E+1	-1.277650773E+1	-1.277650773E+1	3.532157766E+0	-1.155056450E+1
3.300000000E+1	5.000000000E-1	5.000000000E-1	5.000000000E-1	5.000000000E-1	5.000000000E-1	3.548083425E+9	7.357917852E+2	0.000000000E+0	4.131291401E+0	0.000000000E+0	3.189479463E+2	0.000000000E+0	2.318457766E+0	-1.156280773E+1	2.318457766E+0	-1.619973951E+1	-1.366550773E+1	2.315952000E+0	-1.363400773E+1	-1.417181080E+1	-9.249097400E+0	-2.000000000E+1	-1.277650773E+1	-1.277650773E+1	3.532157766E+0	-1.155056450E+1
3.400000000E+1	5.200000000E-1	5.200000000E-1	5.200000000E-1	4.800000000E-1	5.200000000E-1	3.548083427E+9	7.357917852E+2	0.000000000E+0	4.131291401E+0	0.000000000E+0	3.189479463E+2	0.000000000E+0	2.318457766E+0	-1.156280773E+1	2.318457766E+0	-1.619973951E+1	-1.366550773E+1	2.315952000E+0	-1.363400773E+1	-1.417181080E+1	-9.249097400E+0	-2.000000000E+1	-1.277650773E+1	-1.277650773E+1	3.532157766E+0	-1.155056450E+1
3.500000000E+1	4.800000000E-1	4.800000000E-1	4.800000000E-1	5.200000000E-1	4.800000000E-1	3.548083430E+9	7.357917852E+2	0.000000000E+0	4.131291401E+0	0.000000000E+0	3.189479463E+2	0.000000000E+0	2.318457766E+0	-1.156280773E+1	2.318457766E+0	-1.619973951E+1	-1.366550773E+1	2.315952000E+0	-1.363400773E+1	-1.417181080E+1	-9.249097400E+0	-2.000000000E+1	-1.277650773E+1	-1.277650773E+1	3.532157766E+0	-1.155056450E+1
3.600000000E+1	0.000000000E+0	0.000000000E+0	0.000000000E+0	1.000000000E+0	0.000000000E+0	3.548083433E+9	7.357917852E+2	0.000000000E+0	4.131291401E+0	0.000000000E+0	3.189479463E+2	0.000000000E+0	2.318457766E+0	-1.156280773E+1	2.318457766E+0	-1.619973951E+1	-1.366550773E+1	2.315952000E+0	-1.363400773E+1	-1.417181080E+1	-9.249097400E+0	-2.000000000E+1	-1.277650773E+1	-1.277650773E+1	3.532157766E+0	-1.155056450E+1
